"id","standortnr","artbot","min_alter","max_alter","clifton_park_min","clifton_park_max","baumsicht_min","baumsicht_max","sondengaenger_min","sondengaenger_max","zier_h_2000_min","zier_h_2000_max","baumportal_min","baumportal_max","mitchell_min","mitchell_max","kappel_mattheck_min","kappel_mattheck_max","lat","lng","kronendurchmesser","baumhoehe"
"221_G4AAFNA","G4AAFNA","Robinia pseudoacacia","52","63",NULL,NULL,"52","63","78","94","52","63","71","85",NULL,NULL,NULL,NULL,"52.35889","13.00513","6-8","15-20"
"413_283","283","Fraxinus excelsior","46","55",NULL,NULL,"46","55","78","94","46","55","83","99","63","75",NULL,NULL,"52.39904","12.97859","8-10","15-20"
"407_32","32","Robinia pseudoacacia","42","52",NULL,NULL,"42","52","63","78","42","52","57","71",NULL,NULL,NULL,NULL,"52.48598","13.12308","2-4","5-10"
"804_TBA8","TBA8","Betula pendula","24","36","39","59","24","36",NULL,NULL,"24","36","24","36","25","38",NULL,NULL,"52.44666","12.97519","6-8","10-15"
"354_77","77","Quercus robur","75","88",NULL,NULL,"85","100","145","169","85","100","145","169","75","88","94","110","52.3814","13.05189","8-10","15-20"
"407_130","130","Pinus sylvestris","50","63","55","68","50","63","90","112",NULL,NULL,"66","83","63","78","79","98","52.48569","13.12407","8-10","20-25"
"827_0067","0067","Robinia pseudoacacia","42","52",NULL,NULL,"42","52","63","78","42","52","57","71",NULL,NULL,NULL,NULL,"52.38229","13.09335","6-8","15-20"
"221_PFSKLAK","PFSKLAK","Quercus robur","50","63",NULL,NULL,"57","71","97","121","57","71","97","121","50","63","63","78","52.35913","13.00667","8-10","15-20"
"85_3","3","Ginkgo biloba","16","33",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"16","33",NULL,NULL,NULL,NULL,"52.36616","13.13384","2-4","2-5"
"124_144","144","Pseudotsuga menziesii","10","15","39","59","17","25",NULL,NULL,NULL,NULL,"13","19","10","15",NULL,NULL,"52.4111","12.97651","4-6","5-10"
"840_1210","1210","Tilia cordata","60","72","60","72","75","90","121","145","75","90","112","134","63","75",NULL,NULL,"52.40734","13.01394","12-14","15-20"
"289_31","31","Aesculus hippocastanum","74","83","251","283","74","83","179","202","74","83","148","166","126","142",NULL,NULL,"52.39448","13.02944","12-14","15-20"
"456_16","16","Taxus baccata","157","179",NULL,NULL,"183","209","157","179",NULL,NULL,"314","359","220","251",NULL,NULL,"52.39966","13.04567","12-14","10-15"
"236_85","85","Pinus sylvestris","25","38","27","41","25","38","45","67",NULL,NULL,"33","49","32","47","39","59","52.36713","13.13441","4-6","5-10"
"221_VL0W85Q","VL0W85Q","Quercus robur","50","63",NULL,NULL,"57","71","97","121","57","71","97","121","50","63","63","78","52.35924","13.00693","8-10","20-25"
"86_105","105","Acer platanoides",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"52.38528","13.14004","unbekannt","10-15"
"413_152","152","Fraxinus excelsior","28","37",NULL,NULL,"28","37","47","63","28","37","49","66","38","50",NULL,NULL,"52.39991","12.97577","10-12","15-20"
"221_UYAE1LL","UYAE1LL","Robinia pseudoacacia","52","63",NULL,NULL,"52","63","78","94","52","63","71","85",NULL,NULL,NULL,NULL,"52.35955","13.00672","8-10","15-20"
"292_153","153","Acer platanoides","43","54","70","87","43","54","74","92","43","54",NULL,NULL,"50","63",NULL,NULL,"52.37854","13.097","8-10","5-10"
"407_139","139","Pinus sylvestris","50","63","55","68","50","63","90","112",NULL,NULL,"66","83","63","78","79","98","52.48593","13.12384","8-10","20-25"
"236_95","95","Robinia pseudoacacia","21","31",NULL,NULL,"21","31","32","47","21","31","29","43",NULL,NULL,NULL,NULL,"52.36708","13.13449","6-8","10-15"
"104_2RYAWK3","2RYAWK3","Quercus robur","12","25",NULL,NULL,"14","29","24","48","14","29","24","48","12","25","16","32","52.36454","13.12313","4-6","10-15"
"221_QKAADX5","QKAADX5","Acer platanoides","32","43","52","70","32","43","55","74","32","43",NULL,NULL,"38","50",NULL,NULL,"52.3593","13.00484","<2","2-5"
"407_170","170","Pinus sylvestris","38","50","41","55","38","50","67","90",NULL,NULL,"49","66","47","63","59","79","52.48594","13.12359","4-6","20-25"
"407_56","56","Pinus sylvestris","25","38","27","41","25","38","45","67",NULL,NULL,"33","49","32","47","39","59","52.48622","13.12428","6-8","10-15"
"368_48","48","Acer platanoides","11","22","17","35","11","22","18","37","11","22",NULL,NULL,"12","25",NULL,NULL,"52.3976","13.04907","4-6","2-5"
"308_397","397","Robinia pseudoacacia","73","84",NULL,NULL,"73","84","110","126","73","84","100","114",NULL,NULL,NULL,NULL,"52.38412","13.1379","8-10","10-15"
"820_1234","1234","Aesculus hippocastanum","65","74","220","251","65","74","157","179","65","74","129","148","110","126",NULL,NULL,"52.37542","13.09082","6-8","10-15"
"339_29","29","Salix alba 'Tristis'","20","25",NULL,NULL,"47","58",NULL,NULL,"47","58","45","56","20","25",NULL,NULL,"52.38129","13.09359","8-10","10-15"
"456_41","41","Robinia pseudoacacia","63","73",NULL,NULL,"63","73","94","110","63","73","85","100",NULL,NULL,NULL,NULL,"52.39992","13.04548","14-16","15-20"
"407_171","171","Pinus sylvestris","50","63","55","68","50","63","90","112",NULL,NULL,"66","83","63","78","79","98","52.48602","13.12365","8-10","20-25"
"292_211","211","Quercus palustris","12","24","12","24",NULL,NULL,NULL,NULL,NULL,NULL,"24","48",NULL,NULL,NULL,NULL,"52.37792","13.09733","6-8","5-10"
"407_38","38","Robinia pseudoacacia","42","52",NULL,NULL,"42","52","63","78","42","52","57","71",NULL,NULL,NULL,NULL,"52.48627","13.12318","10-12","15-20"
"407_186","186","Pinus sylvestris","63","75","68","82","63","75","112","134",NULL,NULL,"83","99","78","94","98","118","52.48562","13.12337","8-10","15-20"
"245_73","73","Fraxinus excelsior","9","19",NULL,NULL,"9","19","16","32","9","19","16","33","12","25",NULL,NULL,"52.48624","12.9346","2-4","5-10"
"407_95","95","Pinus sylvestris","50","63","55","68","50","63","90","112",NULL,NULL,"66","83","63","78","79","98","52.48538","13.1245","8-10","20-25"
"416_6","6","Ulmus spec.","18","37",NULL,NULL,NULL,NULL,"18","37",NULL,NULL,"19","39",NULL,NULL,NULL,NULL,"52.40959","13.07741","2-4","10-15"
"413_76","76","Acer pseudoplatanus","43","54","70","87","43","54","74","92","43","54",NULL,NULL,"50","63",NULL,NULL,"52.40059","12.98067","8-10","10-15"
"456_47","47","Taxus baccata","45","67",NULL,NULL,"52","78","45","67",NULL,NULL,"90","134","63","94",NULL,NULL,"52.39997","13.04552","4-6","10-15"
"172_165","165","Tilia spec.","12","25",NULL,NULL,NULL,NULL,"24","48",NULL,NULL,"22","45","12","25",NULL,NULL,"52.39372","13.04993","2-4","5-10"
"456_48","48","Taxus baccata","45","67",NULL,NULL,"52","78","45","67",NULL,NULL,"90","134","63","94",NULL,NULL,"52.39998","13.04553","4-6","10-15"
"153_175","175","Acer campestre","16","32",NULL,NULL,NULL,NULL,"18","37",NULL,NULL,"19","39","16","32",NULL,NULL,"52.39609","13.07717","2-4","2-5"
"308_22201","22201","Acer platanoides","22","32","35","52","22","32","37","55","22","32",NULL,NULL,"25","38",NULL,NULL,"52.38411","13.13783","2-4","10-15"
"308_396","396","Acer platanoides","32","43","52","70","32","43","55","74","32","43",NULL,NULL,"38","50",NULL,NULL,"52.38409","13.13791","6-8","10-15"
"153_214","214","Robinia pseudoacacia",NULL,"10",NULL,NULL,NULL,"10",NULL,"16",NULL,"10",NULL,"14",NULL,NULL,NULL,NULL,"52.395","13.0761","<2","<2"
"407_58","58","Pinus sylvestris","38","50","41","55","38","50","67","90",NULL,NULL,"49","66","47","63","59","79","52.48618","13.12436","6-8","10-15"
"14_51","51","Quercus robur 'Pectinata'","38","50",NULL,NULL,"43","57","72","97","43","57","72","97","38","50","47","63","52.37555","13.00939","6-8","15-20"
"407_176","176","Pinus sylvestris","50","63","55","68","50","63","90","112",NULL,NULL,"66","83","63","78","79","98","52.48597","13.12339","8-10","20-25"
"222_185","185","Acer platanoides","11","22","17","35","11","22","18","37","11","22",NULL,NULL,"12","25",NULL,NULL,"52.36509","13.13748","4-6","5-10"
"407_124","124","Pinus sylvestris","38","50","41","55","38","50","67","90",NULL,NULL,"49","66","47","63","59","79","52.48568","13.12415","6-8","20-25"
"140_432","432","Quercus robur",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"52.47847","13.0112","unbekannt","20-25"
"413_154","154","Quercus robur","75","88",NULL,NULL,"85","100","145","169","85","100","145","169","75","88","94","110","52.39971","12.97605","10-12","15-20"
"289_32","32","Ulmus spec.","148","166",NULL,NULL,NULL,NULL,"148","166",NULL,NULL,"157","177",NULL,NULL,NULL,NULL,"52.39447","13.02941","14-16","15-20"
"368_76","76","Ulmus spec.","18","37",NULL,NULL,NULL,NULL,"18","37",NULL,NULL,"19","39",NULL,NULL,NULL,NULL,"52.39812","13.0491","2-4","5-10"
"86_49","49","Betula pendula",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"52.38531","13.14015","unbekannt","15-20"
"86_31","31","Quercus robur",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"52.38535","13.14023","unbekannt","20-25"
"977_71","71","Aesculus hippocastanum","9","19","31","63","9","19","22","45","9","19","18","37","16","32",NULL,NULL,"52.37607","13.10125","4-6","5-10"
"407_46","46","Pinus sylvestris","50","63","55","68","50","63","90","112",NULL,NULL,"66","83","63","78","79","98","52.48614","13.12346","6-8","20-25"
"407_180","180","Pinus sylvestris","38","50","41","55","38","50","67","90",NULL,NULL,"49","66","47","63","59","79","52.48581","13.12347","6-8","20-25"
"407_181","181","Pinus sylvestris","50","63","55","68","50","63","90","112",NULL,NULL,"66","83","63","78","79","98","52.48578","13.1235","8-10","20-25"
"413_168","168","Robinia pseudoacacia","21","31",NULL,NULL,"21","31","32","47","21","31","29","43",NULL,NULL,NULL,NULL,"52.39952","12.97644","2-4","10-15"
"456_43","43","Taxus baccata","179","202",NULL,NULL,"209","236","179","202",NULL,NULL,"359","404","251","283",NULL,NULL,"52.39978","13.0454","10-12","10-15"
"368_12","12","Malus domestica","13","26",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"13","26","16","32",NULL,NULL,"52.39712","13.04984","2-4","2-5"
"456_15","15","Tilia spec.","12","25",NULL,NULL,NULL,NULL,"24","48",NULL,NULL,"22","45","12","25",NULL,NULL,"52.39965","13.04579","4-6","10-15"
"248_110","110","Acer platanoides","11","22","17","35","11","22","18","37","11","22",NULL,NULL,"12","25",NULL,NULL,"52.38141","13.04776","6-8","20-25"
"806_8525","8525","Betula pendula","36","48","59","79","36","48",NULL,NULL,"36","48","36","48","38","50",NULL,NULL,"52.37377","13.10762","6-8","10-15"
"113_44","44","Robinia pseudoacacia","21","31",NULL,NULL,"21","31","32","47","21","31","29","43",NULL,NULL,NULL,NULL,"52.36573","13.14039","6-8","10-15"
"222_91","91","Aesculus hippocastanum","9","19","31","63","9","19","22","45","9","19","18","37","16","32",NULL,NULL,"52.3643","13.13749","4-6","5-10"
"407_67","67","Pinus sylvestris","63","75","68","82","63","75","112","134",NULL,NULL,"83","99","78","94","98","118","52.48613","13.1251","<2","20-25"
"407_26","26","Robinia pseudoacacia","21","31",NULL,NULL,"21","31","32","47","21","31","29","43",NULL,NULL,NULL,NULL,"52.48585","13.12315","4-6","10-15"
"407_197","197","Robinia pseudoacacia","21","31",NULL,NULL,"21","31","32","47","21","31","29","43",NULL,NULL,NULL,NULL,"52.48526","13.12335","4-6","10-15"
"240_AQFA5RK","AQFA5RK","Tilia spec.","38","50",NULL,NULL,NULL,NULL,"72","97",NULL,NULL,"67","90","38","50",NULL,NULL,"52.47278","13.11251","6-8","5-10"
"413_43","43","Carpinus betulus","25","38",NULL,NULL,"25","38",NULL,NULL,"25","38","35","52","25","38",NULL,NULL,"52.39995","12.97625","2-4","2-5"
"456_40","40","Ulmus spec.","37","55",NULL,NULL,NULL,NULL,"37","55",NULL,NULL,"39","59",NULL,NULL,NULL,NULL,"52.39994","13.04549","4-6","10-15"
"153_41","41","Acer campestre","16","32",NULL,NULL,NULL,NULL,"18","37",NULL,NULL,"19","39","16","32",NULL,NULL,"52.39626","13.0754","<2","2-5"
"248_109","109","Acer platanoides","22","32","35","52","22","32","37","55","22","32",NULL,NULL,"25","38",NULL,NULL,"52.38142","13.04778","<2","2-5"
"80_301","301","Populus nigra","5","10","8","16",NULL,NULL,"16","32",NULL,NULL,"14","29","5","10","5","11","52.37409","13.0942","6-8","5-10"
"977_78","78","Robinia pseudoacacia","42","52",NULL,NULL,"42","52","63","78","42","52","57","71",NULL,NULL,NULL,NULL,"52.37575","13.10119","8-10","10-15"
"222_360","360","Alnus spec.","63","75",NULL,NULL,NULL,NULL,"78","94",NULL,NULL,"71","85","63","75",NULL,NULL,"52.36405","13.1401","8-10","15-20"
"100_GANGGUR","GANGGUR","Acer platanoides","43","54","70","87","43","54","74","92","43","54",NULL,NULL,"50","63",NULL,NULL,"52.39747","13.06488","4-6","15-20"
"221_VH5NKCH","VH5NKCH","Quercus rubra","10","15","32","47",NULL,NULL,NULL,NULL,NULL,NULL,"48","72","10","15",NULL,NULL,"52.36045","13.00691","2-4","20-25"
"221_WAFHWMN","WAFHWMN","Quercus rubra","10","15","32","47",NULL,NULL,NULL,NULL,NULL,NULL,"48","72","10","15",NULL,NULL,"52.36041","13.00608","2-4","15-20"
"221_TMC82H8","TMC82H8","Quercus rubra","10","15","32","47",NULL,NULL,NULL,NULL,NULL,NULL,"48","72","10","15",NULL,NULL,"52.36022","13.00646","4-6","15-20"
"407_57","57","Pinus sylvestris","25","38","27","41","25","38","45","67",NULL,NULL,"33","49","32","47","39","59","52.48615","13.12426","6-8","10-15"
"407_30","30","Robinia pseudoacacia","21","31",NULL,NULL,"21","31","32","47","21","31","29","43",NULL,NULL,NULL,NULL,"52.48591","13.12315","6-8","15-20"
"407_126","126","Pinus sylvestris","38","50","41","55","38","50","67","90",NULL,NULL,"49","66","47","63","59","79","52.48565","13.12408","6-8","20-25"
"408_78","78","Tilia cordata","72","85","72","85","90","105","145","169","90","105","134","157","75","88",NULL,NULL,"52.4756","12.98815","8-10","10-15"
"166_AUALCKQ","AUALCKQ","Acer platanoides","11","22","17","35","11","22","18","37","11","22",NULL,NULL,"12","25",NULL,NULL,"52.47277","13.01048","unbekannt","5-10"
"289_14","14","Quercus robur","38","50",NULL,NULL,"43","57","72","97","43","57","72","97","38","50","47","63","52.39392","13.02944","<2","2-5"
"135_29672","29672","Picea abies","28","38","59","79","29","39","47","63",NULL,NULL,"28","38","47","63","38","50","52.44767","12.97532","6-8","15-20"
"374_129","129","Acer platanoides","43","54","70","87","43","54","74","92","43","54",NULL,NULL,"50","63",NULL,NULL,"52.39698","13.06676","6-8","15-20"
"374_10","10","Aesculus hippocastanum","9","19","31","63","9","19","22","45","9","19","18","37","16","32",NULL,NULL,"52.39785","13.06727","<2","5-10"
"292_202","202","Fraxinus excelsior","37","46",NULL,NULL,"37","46","63","78","37","46","66","83","50","63",NULL,NULL,"52.37792","13.09811","8-10","10-15"
"977_126","126","Carpinus betulus","12","25",NULL,NULL,"12","25",NULL,NULL,"12","25","17","35","12","25",NULL,NULL,"52.37562","13.10113","4-6","10-15"
"221_G488MMK","G488MMK","Ulmus spec.","37","55",NULL,NULL,NULL,NULL,"37","55",NULL,NULL,"39","59",NULL,NULL,NULL,NULL,"52.35888","13.00583","2-4","10-15"
"407_28","28","Quercus robur","25","38",NULL,NULL,"29","43","48","72","29","43","48","72","25","38","32","47","52.4859","13.12318","4-6","10-15"
"407_89","89","Betula pendula","48","60","79","98","48","60",NULL,NULL,"48","60","48","60","50","63",NULL,NULL,"52.48499","13.12399","14-16","20-25"
"246_383","383","Pinus sylvestris","25","38","27","41","25","38","45","67",NULL,NULL,"33","49","32","47","39","59","52.46025","12.99883","unbekannt","10-15"
"153_11","11","Robinia pseudoacacia","21","31",NULL,NULL,"21","31","32","47","21","31","29","43",NULL,NULL,NULL,NULL,"52.39561","13.07461","6-8","5-10"
"283_8","8","Fraxinus excelsior","46","55",NULL,NULL,"46","55","78","94","46","55","83","99","63","75",NULL,NULL,"52.42969","13.09413","6-8","15-20"
"215_15","15","Prunus avium","13","26",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"13","26","16","32",NULL,NULL,"52.42222","13.00307","2-4","2-5"
"823_16144","16144","Acer platanoides","87","98","139","157","87","98","148","166","87","98",NULL,NULL,"100","113",NULL,NULL,"52.40967","13.01831","10-12","15-20"
"413_33","33","Robinia pseudoacacia","21","31",NULL,NULL,"21","31","32","47","21","31","29","43",NULL,NULL,NULL,NULL,"52.39942","12.97914","8-10","10-15"
"413_288","288","Fraxinus excelsior","28","37",NULL,NULL,"28","37","47","63","28","37","49","66","38","50",NULL,NULL,"52.39913","12.97829","2-4","10-15"
"221_LFAGATS","LFAGATS","Quercus rubra","10","15","32","47",NULL,NULL,NULL,NULL,NULL,NULL,"48","72","10","15",NULL,NULL,"52.36039","13.00688","2-4","20-25"
"221_GYAAE09","GYAAE09","Quercus robur","75","88",NULL,NULL,"85","100","145","169","85","100","145","169","75","88","94","110","52.36104","13.00665","10-12","15-20"
"333_60","60","Tilia spec.","38","50",NULL,NULL,NULL,NULL,"72","97",NULL,NULL,"67","90","38","50",NULL,NULL,"52.39312","13.0501","8-10","15-20"
"153_234","234","Acer platanoides","11","22","17","35","11","22","18","37","11","22",NULL,NULL,"12","25",NULL,NULL,"52.39522","13.07602","2-4","5-10"
"248_42","42","Acer platanoides","32","43","52","70","32","43","55","74","32","43",NULL,NULL,"38","50",NULL,NULL,"52.38188","13.0469","<2","2-5"
"835_712768","712768","Pinus sylvestris","25","38","27","41","25","38","45","67",NULL,NULL,"33","49","32","47","39","59","52.37549","13.11993","4-6","15-20"
"835_712790","712790","Pinus sylvestris","38","50","41","55","38","50","67","90",NULL,NULL,"49","66","47","63","59","79","52.37567","13.11933","4-6","15-20"
"221_AVKXARK","AVKXARK","Quercus robur","88","100",NULL,NULL,"100","114","169","193","100","114","169","193","88","100","110","126","52.35979","13.00704","8-10","20-25"
"289_23742","23742","Acer platanoides","11","22","17","35","11","22","18","37","11","22",NULL,NULL,"12","25",NULL,NULL,"52.39433","13.02872","2-4","2-5"
"289_23743","23743","Pseudotsuga menziesii","20","25","79","98","33","41",NULL,NULL,NULL,NULL,"26","32","20","25",NULL,NULL,"52.39423","13.02872","6-8","15-20"
"221_K5XPNWP","K5XPNWP","Quercus rubra","10","15","32","47",NULL,NULL,NULL,NULL,NULL,NULL,"48","72","10","15",NULL,NULL,"52.3603","13.00637","2-4","15-20"
"221_VA2V4AA","VA2V4AA","Quercus rubra","5","10","16","32",NULL,NULL,NULL,NULL,NULL,NULL,"24","48","5","10",NULL,NULL,"52.36051","13.00699","2-4","10-15"
"17_0PT66GS","0PT66GS","Robinia pseudoacacia",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"52.40946","13.00077","10-12","15-20"
"17_425X2C4","425X2C4","Carpinus betulus","63","75",NULL,NULL,"63","75",NULL,NULL,"63","75","87","104","63","75",NULL,NULL,"52.40889","12.99846","10-12","20-25"
"44_91","91","Betula pendula","36","48","59","79","36","48",NULL,NULL,"36","48","36","48","38","50",NULL,NULL,"52.40889","13.02295","4-6","10-15"
"413_131","131","Fraxinus excelsior","19","28",NULL,NULL,"19","28","32","47","19","28","33","49","25","38",NULL,NULL,"52.40062","12.97595","6-8","15-20"
"351_43","43","Fraxinus excelsior","19","28",NULL,NULL,"19","28","32","47","19","28","33","49","25","38",NULL,NULL,"52.39592","13.07204","6-8","10-15"
"413_173","173","Robinia pseudoacacia","31","42",NULL,NULL,"31","42","47","63","31","42","43","57",NULL,NULL,NULL,NULL,"52.39946","12.97611","6-8","10-15"
"166_RMCKAYM","RMCKAYM","Acer platanoides","65","76","104","122","65","76","111","129","65","76",NULL,NULL,"75","88",NULL,NULL,"52.47247","13.01048","unbekannt","10-15"
"835_712896","712896","Pinus sylvestris","50","63","55","68","50","63","90","112",NULL,NULL,"66","83","63","78","79","98","52.37529","13.11975","4-6","15-20"
"140_494","494","Robinia pseudoacacia",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"52.47867","13.0112","unbekannt","5-10"
"835_712908","712908","Pinus sylvestris","38","50","41","55","38","50","67","90",NULL,NULL,"49","66","47","63","59","79","52.37537","13.11953","4-6","15-20"
"345_119","119","Quercus robur","25","38",NULL,NULL,"29","43","48","72","29","43","48","72","25","38","32","47","52.39464","13.03059","4-6","10-15"
"374_76","76","Acer platanoides","43","54","70","87","43","54","74","92","43","54",NULL,NULL,"50","63",NULL,NULL,"52.39734","13.06892","6-8","15-20"
"362_132","132","Acer platanoides","32","43","52","70","32","43","55","74","32","43",NULL,NULL,"38","50",NULL,NULL,"52.39652","13.07767","10-12","10-15"
"171_28","28","Acer platanoides","43","54","70","87","43","54","74","92","43","54",NULL,NULL,"50","63",NULL,NULL,"52.39686","13.07367","6-8","15-20"
"174_69","69","Acer platanoides","22","32","35","52","22","32","37","55","22","32",NULL,NULL,"25","38",NULL,NULL,"52.39433","13.07515","4-6","10-15"
"221_MAQP28A","MAQP28A","Quercus robur","50","63",NULL,NULL,"57","71","97","121","57","71","97","121","50","63","63","78","52.36107","13.00681","6-8","20-25"
"221_4EGHFAG","4EGHFAG","Quercus robur","50","63",NULL,NULL,"57","71","97","121","57","71","97","121","50","63","63","78","52.36118","13.00667","6-8","20-25"
"221_KHMA20N","KHMA20N","Quercus rubra","10","15","32","47",NULL,NULL,NULL,NULL,NULL,NULL,"48","72","10","15",NULL,NULL,"52.36043","13.00693","2-4","15-20"
"835_713047","713047","Pinus sylvestris","50","63","55","68","50","63","90","112",NULL,NULL,"66","83","63","78","79","98","52.37519","13.12006","4-6","15-20"
"835_712774","712774","Pinus sylvestris","38","50","41","55","38","50","67","90",NULL,NULL,"49","66","47","63","59","79","52.37548","13.11969","4-6","15-20"
"21_ANA47XN","ANA47XN","Pinus sylvestris","50","63","55","68","50","63","90","112",NULL,NULL,"66","83","63","78","79","98","52.37492","13.12147","6-8","15-20"
"345_120","120","Aesculus hippocastanum","19","28","63","94","19","28","45","67","19","28","37","55","32","47",NULL,NULL,"52.39465","13.03111","2-4","10-15"
"221_34L9AAW","34L9AAW","Quercus robur","25","38",NULL,NULL,"29","43","48","72","29","43","48","72","25","38","32","47","52.36104","13.00678","4-6","10-15"
"140_141","141","Pinus sylvestris","38","50","41","55","38","50","67","90",NULL,NULL,"49","66","47","63","59","79","52.47813","13.00982","4-6","15-20"
"140_630","630","Robinia pseudoacacia",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"52.47868","13.01226","unbekannt","15-20"
"140_752","752","Robinia pseudoacacia",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"52.47891","13.01272","unbekannt","15-20"
"221_20798","20798","Quercus rubra","40","45","126","142",NULL,NULL,NULL,NULL,NULL,NULL,"193","218","40","45",NULL,NULL,"52.35964","13.00717","10-12","20-25"
"140_319","319","Pinus sylvestris",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"52.47831","13.01046","unbekannt","15-20"
"153_22","22","Acer campestre","16","32",NULL,NULL,NULL,NULL,"18","37",NULL,NULL,"19","39","16","32",NULL,NULL,"52.39566","13.07573","2-4","5-10"
"374_42","42","Acer campestre","32","47",NULL,NULL,NULL,NULL,"37","55",NULL,NULL,"39","59","32","47",NULL,NULL,"52.39755","13.06886","6-8","10-15"
"422_248","248","Acer pseudoplatanus","32","43","52","70","32","43","55","74","32","43",NULL,NULL,"38","50",NULL,NULL,"52.37059","13.10759","6-8","10-15"
"104_302","302","Juglans regia","30","45",NULL,NULL,"42","63","32","47","42","63","30","45",NULL,NULL,NULL,NULL,"52.36864","13.11967","6-8","5-10"
"422_32","32","Malus domestica","13","26",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"13","26","16","32",NULL,NULL,"52.37132","13.10812","4-6","2-5"
"140_405","405","Robinia pseudoacacia",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"52.47854","13.01084","unbekannt","5-10"
"422_88","88","Betula pendula","12","24","19","39","12","24",NULL,NULL,"12","24","12","24","12","25",NULL,NULL,"52.37118","13.10821","4-6","5-10"
"85_105","105","Acer platanoides","11","22","17","35","11","22","18","37","11","22",NULL,NULL,"12","25",NULL,NULL,"52.36581","13.13287","2-4","2-5"
"85_75","75","Tilia cordata","12","24","12","24","15","30","24","48","15","30","22","45","12","25",NULL,NULL,"52.36618","13.1333","2-4","2-5"
"221_LCNSAAC","LCNSAAC","Alnus spec.","50","63",NULL,NULL,NULL,NULL,"63","78",NULL,NULL,"57","71","50","63",NULL,NULL,"52.36087","13.00765","8-10","20-25"
"221_NN6X90A","NN6X90A","Quercus robur","50","63",NULL,NULL,"57","71","97","121","57","71","97","121","50","63","63","78","52.36132","13.00787","<2","5-10"
"221_AXM84XA","AXM84XA","Acer pseudoplatanus","22","32","35","52","22","32","37","55","22","32",NULL,NULL,"25","38",NULL,NULL,"52.36163","13.00795","4-6","10-15"
"24_38","38","Acer platanoides","22","32","35","52","22","32","37","55","22","32",NULL,NULL,"25","38",NULL,NULL,"52.47238","13.00521","8-10","5-10"
"172_166","166","Tilia spec.","38","50",NULL,NULL,NULL,NULL,"72","97",NULL,NULL,"67","90","38","50",NULL,NULL,"52.39372","13.0498","6-8","10-15"
"189_15","15","Acer platanoides","43","54","70","87","43","54","74","92","43","54",NULL,NULL,"50","63",NULL,NULL,"52.39537","13.07928","10-12","15-20"
"153_135","135","Acer platanoides","11","22","17","35","11","22","18","37","11","22",NULL,NULL,"12","25",NULL,NULL,"52.39637","13.07543","6-8","5-10"
"835_712975","712975","Pinus sylvestris","25","38","27","41","25","38","45","67",NULL,NULL,"33","49","32","47","39","59","52.37517","13.1208","4-6","15-20"
"24_41","41","Acer platanoides","22","32","35","52","22","32","37","55","22","32",NULL,NULL,"25","38",NULL,NULL,"52.47224","13.00487","6-8","10-15"
"140_534","534","Robinia pseudoacacia",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"52.47867","13.01147","unbekannt","10-15"
"351_52","52","Acer platanoides","22","32","35","52","22","32","37","55","22","32",NULL,NULL,"25","38",NULL,NULL,"52.39622","13.07264","8-10","10-15"
"16_155","155","Betula pendula","60","72","98","118","60","72",NULL,NULL,"60","72","60","72","63","75",NULL,NULL,"52.37661","13.11792","4-6","20-25"
"17_102","102","Quercus robur",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"52.41386","12.99985","12-14","10-15"
"140_188","188","Acer platanoides",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"52.47821","13.0098","unbekannt","5-10"
