"id","standortnr","artbot","min_alter","max_alter","clifton_park_min","clifton_park_max","baumsicht_min","baumsicht_max","sondengaenger_min","sondengaenger_max","zier_h_2000_min","zier_h_2000_max","baumportal_min","baumportal_max","mitchell_min","mitchell_max","kappel_mattheck_min","kappel_mattheck_max","lat","lng","kronendurchmesser","baumhoehe"
"356_29904","29904","Pinus nigra","72","85","104","122","72","85",NULL,NULL,NULL,NULL,"99","116",NULL,NULL,NULL,NULL,"52.43953","13.03312","8-10","15-20"
"809_0701","0701","Acer platanoides","11","22","17","35","11","22","18","37","11","22",NULL,NULL,"12","25",NULL,NULL,"52.4379","13.03516","4-6","5-10"
"809_0702","0702","Quercus robur","38","50",NULL,NULL,"43","57","72","97","43","57","72","97","38","50","47","63","52.43789","13.03514","6-8","15-20"
"373_18","18","Acer campestre","16","32",NULL,NULL,NULL,NULL,"18","37",NULL,NULL,"19","39","16","32",NULL,NULL,"52.36852","13.14429","4-6","5-10"
"221_LK91KTP","LK91KTP","Acer platanoides","22","32","35","52","22","32","37","55","22","32",NULL,NULL,"25","38",NULL,NULL,"52.36001","13.00518","4-6","10-15"
"113_20","20","Prunus avium","13","26",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"13","26","16","32",NULL,NULL,"52.36601","13.13929","2-4","2-5"
"113_21","21","Prunus avium","13","26",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"13","26","16","32",NULL,NULL,"52.36599","13.13926","4-6","2-5"
"316_79","79","Pinus sylvestris","25","38","27","41","25","38","45","67",NULL,NULL,"33","49","32","47","39","59","52.45993","12.99866","4-6","10-15"
"809_29741","29741","Quercus robur","12","25",NULL,NULL,"14","29","24","48","14","29","24","48","12","25","16","32","52.43829","13.03509","2-4","5-10"
"221_MV74LAE","MV74LAE","Robinia pseudoacacia","42","52",NULL,NULL,"42","52","63","78","42","52","57","71",NULL,NULL,NULL,NULL,"52.36074","13.00635","4-6","15-20"
"74_291","291","Populus nigra 'Italica'","20","25","32","39",NULL,NULL,"63","78",NULL,NULL,"57","71","20","25","22","28","52.36076","13.12893","2-4","20-25"
"813_20587_flur1_697","20587_flur1_697","Robinia pseudoacacia","42","52",NULL,NULL,"42","52","63","78","42","52","57","71",NULL,NULL,NULL,NULL,"52.42343","13.06263","6-8","10-15"
"110_32","32","Acer platanoides","43","54","70","87","43","54","74","92","43","54",NULL,NULL,"50","63",NULL,NULL,"52.38918","13.11145","6-8","<2"
"308_148","148","Quercus robur","50","63",NULL,NULL,"57","71","97","121","57","71","97","121","50","63","63","78","52.38496","13.13845","8-10","20-25"
"268_91","91","Acer platanoides","11","22","17","35","11","22","18","37","11","22",NULL,NULL,"12","25",NULL,NULL,"52.42648","13.05682","<2","2-5"
"407_55","55","Betula pendula","60","72","98","118","60","72",NULL,NULL,"60","72","60","72","63","75",NULL,NULL,"52.48631","13.12431","10-12","15-20"
"98_86","86","Betula pendula","36","48","59","79","36","48",NULL,NULL,"36","48","36","48","38","50",NULL,NULL,"52.38559","13.06052","8-10","20-25"
"98_106","106","Acer pseudoplatanus","22","32","35","52","22","32","37","55","22","32",NULL,NULL,"25","38",NULL,NULL,"52.38578","13.0594","4-6","20-25"
"268_97","97","Acer platanoides","11","22","17","35","11","22","18","37","11","22",NULL,NULL,"12","25",NULL,NULL,"52.42633","13.05709","<2","2-5"
"459_18228","18228","Acer platanoides","32","43","52","70","32","43","55","74","32","43",NULL,NULL,"38","50",NULL,NULL,"52.38177","13.12369","4-6","10-15"
"17_43--13802","43--13802","Acer platanoides",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"52.41359","12.99895","6-8","10-15"
"17_91--13850","91--13850","Acer platanoides",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"52.41375","12.9996","2-4","5-10"
"293_44","44","Tilia spec.","25","38",NULL,NULL,NULL,NULL,"48","72",NULL,NULL,"45","67","25","38",NULL,NULL,"52.40424","13.05453","6-8","10-15"
"293_45","45","Tilia spec.","25","38",NULL,NULL,NULL,NULL,"48","72",NULL,NULL,"45","67","25","38",NULL,NULL,"52.40426","13.05478","4-6","<2"
"293_47","47","Acer platanoides","11","22","17","35","11","22","18","37","11","22",NULL,NULL,"12","25",NULL,NULL,"52.40417","13.05515","2-4","5-10"
"17_PWK439I","PWK439I","Robinia pseudoacacia","31","42",NULL,NULL,"31","42","47","63","31","42","43","57",NULL,NULL,NULL,NULL,"52.41208","13.00131","4-6","15-20"
"17_71--13953","71--13953","Acer pseudoplatanus","32","43","52","70","32","43","55","74","32","43",NULL,NULL,"38","50",NULL,NULL,"52.4134","12.99901","2-4","5-10"
"17_50--13809","50--13809","Acer platanoides",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"52.41367","12.99899","6-8","10-15"
"17_57--13939","57--13939","Robinia pseudoacacia","31","42",NULL,NULL,"31","42","47","63","31","42","43","57",NULL,NULL,NULL,NULL,"52.41335","12.99887","8-10","15-20"
"17_58--13817","58--13817","Acer platanoides",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"52.41367","12.99907","2-4","10-15"
"17_59--13818","59--13818","Acer platanoides",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"52.41365","12.99912","2-4","5-10"
"293_81","81","Juglans regia","45","60",NULL,NULL,"63","84","47","63","63","84","45","60",NULL,NULL,NULL,NULL,"52.40496","13.05701","8-10","10-15"
"441_105","105","Betula pendula","24","36","39","59","24","36",NULL,NULL,"24","36","24","36","25","38",NULL,NULL,"52.46759","13.10259","<2","<2"
"419_140","140","Picea pungens","45","60","52","70","45","60",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"52.35992","13.02524","2-4","15-20"
"17_59--13941","59--13941","Robinia pseudoacacia","31","42",NULL,NULL,"31","42","47","63","31","42","43","57",NULL,NULL,NULL,NULL,"52.41328","12.99886","14-16","15-20"
"17_60--13819","60--13819","Acer platanoides",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"52.41363","12.9991","2-4","5-10"
"17_60--13942","60--13942","Robinia pseudoacacia","31","42",NULL,NULL,"31","42","47","63","31","42","43","57",NULL,NULL,NULL,NULL,"52.41329","12.99881","6-8","5-10"
"17_72--13831","72--13831","Acer platanoides",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"52.41374","12.99933","4-6","5-10"
"17_75--13834","75--13834","Acer platanoides",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"52.41368","12.99936","4-6","5-10"
"414_226","226","Quercus robur","138","151",NULL,NULL,"157","171","266","290","157","171","266","290","138","151","173","188","52.40298","13.06369","14-16","20-25"
"290_57","57","Picea abies","48","57","98","118","49","59","78","94",NULL,NULL,"48","57","78","94","63","75","52.40762","13.06522","6-8","20-25"
"98_52","52","Quercus robur","75","88",NULL,NULL,"85","100","145","169","85","100","145","169","75","88","94","110","52.38557","13.05898","6-8","10-15"
"373_56","56","Fraxinus spec.","16","32",NULL,NULL,NULL,NULL,"16","32",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"52.36805","13.14328","4-6","5-10"
"373_57","57","Fraxinus spec.","16","32",NULL,NULL,NULL,NULL,"16","32",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"52.36805","13.14331","2-4","5-10"
"17_9--13891","9--13891","Quercus robur","50","63",NULL,NULL,"57","71","97","121","57","71","97","121","50","63","63","78","52.41385","13.00032","10-12","15-20"
"17_10--13769","10--13769","Acer platanoides","32","43","52","70","32","43","55","74","32","43",NULL,NULL,"38","50",NULL,NULL,"52.41371","12.99856","4-6","5-10"
